中国电信-吉林-组播,#genre#
四川卫视,http://36.49.50.29:8800/udp/239.37.0.041:5540
浙江卫视,http://36.49.50.29:8800/udp/239.37.0.037:5540
纪实人文,http://36.49.50.29:8800/udp/239.37.0.152:5540
河北卫视,http://36.49.50.29:8800/udp/239.37.0.052:5540
河南卫视,http://36.49.50.29:8800/udp/239.37.0.056:5540
江西卫视,http://36.49.50.29:8800/udp/239.37.0.043:5540
贵州卫视,http://36.49.50.29:8800/udp/239.37.0.058:5540
重庆卫视,http://36.49.50.29:8800/udp/239.37.0.062:5540
安徽卫视,http://36.49.50.29:8800/udp/239.37.0.046:5540
辽宁卫视,http://36.49.50.29:8800/udp/239.37.0.044:5540
金鹰纪实,http://36.49.50.29:8800/udp/239.37.0.161:5540
东奥纪实,http://36.49.50.29:8800/udp/239.37.0.162:5540
cctv1,http://36.49.50.29:8800/udp/239.37.0.218:5540
cetv1,http://36.49.50.29:8800/udp/239.37.0.193:5540
cgtn,http://36.49.50.29:8800/udp/239.37.0.024:5540
cctv2,http://36.49.50.29:8800/udp/239.37.0.021:5540
cctv3,http://36.49.50.29:8800/udp/239.37.0.189:5540
cctv5,http://36.49.50.29:8800/udp/239.37.0.190:5540
cctv6,http://36.49.50.29:8800/udp/239.37.0.191:5540
cctv8,http://36.49.50.29:8800/udp/239.37.0.192:5540
cctv9,http://36.49.50.29:8800/udp/239.37.0.122:5540
cctv10,http://36.49.50.29:8800/udp/239.37.0.025:5540
cctv11,http://36.49.50.29:8800/udp/239.37.0.026:5540
cctv12,http://36.49.50.29:8800/udp/239.37.0.027:5540
cctv14,http://36.49.50.29:8800/udp/239.37.0.029:5540
cctv15,http://36.49.50.29:8800/udp/239.37.0.030:5540
cctv17,http://36.49.50.29:8800/udp/239.37.0.023:5540
CGTn,http://36.49.50.29:8800/udp/239.37.0.031:5540
甘肃卫视,http://36.49.50.29:8800/udp/239.37.0.034:5540
海南卫视,http://36.49.50.29:8800/udp/239.37.0.035:5540
内蒙古卫视,http://36.49.50.29:8800/udp/239.37.0.036:5540
新疆卫视,http://36.49.50.29:8800/udp/239.37.0.039:5540
陕西卫视,http://36.49.50.29:8800/udp/239.37.0.045:5540
广西卫视,http://36.49.50.29:8800/udp/239.37.0.051:5540
山西卫视,http://36.49.50.29:8800/udp/239.37.0.053:5540
西藏卫视,http://36.49.50.29:8800/udp/239.37.0.054:5540
青海卫视,http://36.49.50.29:8800/udp/239.37.0.057:5540
兵团卫视,http://36.49.50.29:8800/udp/239.37.0.059:5540
卡酷少儿,http://36.49.50.29:8800/udp/239.37.0.060:5540
金鹰卡通,http://36.49.50.29:8800/udp/239.37.0.061:5540
云南卫视,http://36.49.50.29:8800/udp/239.37.0.063:5540
哈哈炫动,http://36.49.50.29:8800/udp/239.37.0.065:5540
宁夏卫视,http://36.49.50.29:8800/udp/239.37.0.066:5540
佳佳卡通,http://36.49.50.29:8800/udp/239.37.0.067:5540
环球奇观,http://36.49.50.29:8800/udp/239.37.0.070:5540
武术世界,http://36.49.50.29:8800/udp/239.37.0.076:5540
靓装,http://36.49.50.29:8800/udp/239.37.0.087:5540
梨园频道,http://36.49.50.29:8800/udp/239.37.0.088:5540
无台标,http://36.49.50.29:8800/udp/239.37.0.089:5540
文化宝库,http://36.49.50.29:8800/udp/239.37.0.092:5540
国学频道,http://36.49.50.29:8800/udp/239.37.0.093:5540
吉林都市,http://36.49.50.29:8800/udp/239.37.0.102:5540
吉林生活,http://36.49.50.29:8800/udp/239.37.0.104:5540
吉林影视,http://36.49.50.29:8800/udp/239.37.0.103:5540
吉林公共新闻,http://36.49.50.29:8800/udp/239.37.0.106:5540
吉林乡村,http://36.49.50.29:8800/udp/239.37.0.105:5540
吉林7频道,http://36.49.50.29:8800/udp/239.37.0.107:5540
吉林篮球,http://36.49.50.29:8800/udp/239.37.0.216:5540
东北戏曲,http://36.49.50.29:8800/udp/239.37.0.109:5540
长影频道,http://36.49.50.29:8800/udp/239.37.0.125:5540
吉林教育,http://36.49.50.29:8800/udp/239.37.0.126:5540
农安综合,http://36.49.50.29:8800/udp/239.37.0.144:5540
扶余,http://36.49.50.29:8800/udp/239.37.0.180:5540
家有购物,http://36.49.50.29:8800/udp/239.37.0.110:5540
老故事,http://36.49.50.29:8800/udp/239.37.0.113:5540
延边卫视,http://36.49.50.29:8800/udp/239.37.0.116:5540
公共,http://36.49.50.29:8800/udp/239.37.0.251:5540
科教,http://36.49.50.29:8800/udp/239.37.0.129:5540
新闻综合,http://36.49.50.29:8800/udp/239.37.0.250:5540
四平1,http://36.49.50.29:8800/udp/239.37.0.130:5540
TTV1,http://36.49.50.29:8800/udp/239.37.0.132:5540
四平2,http://36.49.50.29:8800/udp/239.37.0.131:5540
TTV2,http://36.49.50.29:8800/udp/239.37.0.133:5540
TTV3,http://36.49.50.29:8800/udp/239.37.0.134:5540
白山公告2,http://36.49.50.29:8800/udp/239.37.0.138:5540
新闻综合1,http://36.49.50.29:8800/udp/239.37.0.137:5540
聚沙环球精选,http://36.49.50.29:8800/udp/239.37.0.139:5540
风尚购物,http://36.49.50.29:8800/udp/239.37.0.143:5540
集安综合,http://36.49.50.29:8800/udp/239.37.0.145:5540
9屏,http://36.49.50.29:8800/udp/239.37.0.149:5540
磐石,http://36.49.50.29:8800/udp/239.37.0.164:5540
图门1,http://36.49.50.29:8800/udp/239.37.0.166:5540
不认识,http://36.49.50.29:8800/udp/239.37.0.165:5540
梨树新闻,http://36.49.50.29:8800/udp/239.37.0.168:5540
tv1,http://36.49.50.29:8800/udp/239.37.0.167:5540
综合纪实,http://36.49.50.29:8800/udp/239.37.0.170:5540
双辽,http://36.49.50.29:8800/udp/239.37.0.169:5540
综合,http://36.49.50.29:8800/udp/239.37.0.172:5540
二人转,http://36.49.50.29:8800/udp/239.37.0.171:5540
梅河口,http://36.49.50.29:8800/udp/239.37.0.173:5540
看不清综合,http://36.49.50.29:8800/udp/239.37.0.175:5540
DFTV综合,http://36.49.50.29:8800/udp/239.37.0.179:5540
优购物,http://36.49.50.29:8800/udp/239.37.0.182:5540
时尚购物[1024*576],http://36.49.50.29:8800/udp/239.37.0.183:5540
乾安综合,http://36.49.50.29:8800/udp/239.37.0.181:5540
央广购物,http://36.49.50.29:8800/udp/239.37.0.184:5540
好享购物,http://36.49.50.29:8800/udp/239.37.0.185:5540
好像百事通体育,http://36.49.50.29:8800/udp/239.37.0.194:5540
体育,http://36.49.50.29:8800/udp/239.37.0.228:5540
三沙卫视,http://36.49.50.29:8800/udp/239.37.0.201:5540
吉智聚视,http://36.49.50.29:8800/udp/239.37.0.212:5540
购物,http://36.49.50.29:8800/udp/239.37.0.215:5540
星,http://36.49.50.29:8800/udp/239.37.0.220:5540
松原,http://36.49.50.29:8800/udp/239.37.0.246:5540
YBTV1,http://36.49.50.29:8800/udp/239.37.0.248:5540
YBTV2,http://36.49.50.29:8800/udp/239.37.0.249:5540
松原公共,http://36.49.50.29:8800/udp/239.37.0.247:5540
广告购物,http://36.49.50.29:8800/udp/239.37.0.253:5540
蛟河,http://36.49.50.29:8800/udp/239.37.0.252:5540
