中国电信-上海-组播,#genre#
金色频道,http://116.226.38.242:4022/udp/239.45.1.118:5140
健康人生,http://116.226.38.242:4022/udp/239.45.3.214:5140
百事通超级体育,http://116.226.38.242:4022/udp/239.45.3.139:5140
百事通4K,http://116.226.38.242:4022/udp/239.45.1.42:5140
百事通4K（备）,http://116.226.38.242:4022/udp/239.45.3.107:5140
中国教育-1,http://116.226.38.242:4022/udp/239.45.1.125:5140
中国教育-2,http://116.226.38.242:4022/udp/239.45.1.52:5140
中国教育-4,http://116.226.38.242:4022/udp/239.45.1.50:5140
浙江卫视,http://116.226.38.242:4022/udp/239.45.3.178:5140
江苏卫视,http://116.226.38.242:4022/udp/239.45.3.177:5140
湖南卫视,http://116.226.38.242:4022/udp/239.45.3.228:5140
北京卫视,http://116.226.38.242:4022/udp/239.45.3.229:5140
广东卫视,http://116.226.38.242:4022/udp/239.45.3.230:5140
深圳卫视,http://116.226.38.242:4022/udp/239.45.3.231:5140
黑龙江卫视,http://116.226.38.242:4022/udp/239.45.3.232:5140
山东卫视,http://116.226.38.242:4022/udp/239.45.3.238:5140
湖北卫视,http://116.226.38.242:4022/udp/239.45.3.239:5140
安徽卫视,http://116.226.38.242:4022/udp/239.45.1.120:5140
东南卫视,http://116.226.38.242:4022/udp/239.45.1.121:5140
江西卫视,http://116.226.38.242:4022/udp/239.45.1.122:5140
辽宁卫视,http://116.226.38.242:4022/udp/239.45.1.123:5140
天津卫视,http://116.226.38.242:4022/udp/239.45.1.124:5140
四川卫视,http://116.226.38.242:4022/udp/239.45.1.83:5140
重庆卫视,http://116.226.38.242:4022/udp/239.45.1.84:5140
贵州卫视,http://116.226.38.242:4022/udp/239.45.1.80:5140
海南卫视,http://116.226.38.242:4022/udp/239.45.1.81:5140
河北卫视,http://116.226.38.242:4022/udp/239.45.1.44:5140
金鹰纪实,http://116.226.38.242:4022/udp/239.45.1.45:5140
宁夏卫视,http://116.226.38.242:4022/udp/239.45.1.213:5140
广西卫视,http://116.226.38.242:4022/udp/239.45.0.5:5140
吉林卫视,http://116.226.38.242:4022/udp/239.45.0.6:5140
山西卫视,http://116.226.38.242:4022/udp/239.45.1.229:5140
青海卫视,http://116.226.38.242:4022/udp/239.45.1.230:5140
西藏卫视,http://116.226.38.242:4022/udp/239.45.1.231:5140
陕西卫视,http://116.226.38.242:4022/udp/239.45.1.232:5140
云南卫视,http://116.226.38.242:4022/udp/239.45.0.4:5140
甘肃卫视,http://116.226.38.242:4022/udp/239.45.1.234:5140
内蒙古卫视,http://116.226.38.242:4022/udp/239.45.1.238:5140
河南卫视,http://116.226.38.242:4022/udp/239.45.0.3:5140
新疆卫视,http://116.226.38.242:4022/udp/239.45.1.116:5140
兵团卫视,http://116.226.38.242:4022/udp/239.45.1.117:5140
三沙卫视,http://116.226.38.242:4022/udp/239.45.1.82:5140
康巴卫视,http://116.226.38.242:4022/udp/239.45.1.251:5140
金鹰卡通,http://116.226.38.242:4022/udp/239.45.3.118:5140
嘉佳卡通,http://116.226.38.242:4022/udp/239.45.1.48:5140
卡酷少儿,http://116.226.38.242:4022/udp/239.45.0.8:5140
北京冬奥纪实,http://116.226.38.242:4022/udp/239.45.1.14:5140
中国天气,http://116.226.38.242:4022/udp/239.45.1.47:5140
陶瓷,http://116.226.38.242:4022/udp/239.45.3.50:5140
东方购物-1HD,http://116.226.38.242:4022/udp/239.45.3.74:5140
东方购物-2HD,http://116.226.38.242:4022/udp/239.45.3.75:5140
东方购物-3HD,http://116.226.38.242:4022/udp/239.45.3.207:5140
东方购物-4HD,http://116.226.38.242:4022/udp/239.45.3.208:5140
东方购物-5HD,http://116.226.38.242:4022/udp/239.45.3.253:5140
聚鲨环球精选,http://116.226.38.242:4022/udp/239.45.3.123:5140
央广购物,http://116.226.38.242:4022/udp/239.45.3.213:5140
家家购物,http://116.226.38.242:4022/udp/239.45.3.179:5140
快乐购物,http://116.226.38.242:4022/udp/239.45.1.53:5140
优购物,http://116.226.38.242:4022/udp/239.45.1.114:5140
好享购物,http://116.226.38.242:4022/udp/239.45.1.253:5140
中央购物,http://116.226.38.242:4022/udp/239.45.3.79:5140
家有购物,http://116.226.38.242:4022/udp/239.45.1.43:5140
