中国电信-湖南-组播,#genre#
湖南国际HD,http://www.erbao1981.top:8188/udp/239.76.252.124:9000
湖南都市HD,http://www.erbao1981.top:8188/udp/239.76.252.117:9000
湖南娱乐HD,http://www.erbao1981.top:8188/udp/239.76.252.121:9000
湖南电影HD,http://www.erbao1981.top:8188/udp/239.76.252.119:9000
湖南公共HD,http://www.erbao1981.top:8188/udp/239.76.252.123:9000
湖南电视剧HD,http://www.erbao1981.top:8188/udp/239.76.252.118:9000
金鹰卡通HD,http://www.erbao1981.top:8188/udp/239.76.252.120:9000
金鹰纪实HD,http://www.erbao1981.top:8188/udp/239.76.252.122:9000
长沙政法HD,http://www.erbao1981.top:8188/udp/239.76.253.122:9000
长沙新闻HD,http://www.erbao1981.top:8188/udp/239.76.253.121:9000
IPTV芒果互娱,http://www.erbao1981.top:8188/udp/239.76.246.126:1234
健康电视HD,http://www.erbao1981.top:8188/udp/239.76.246.127:1234
欢笑剧场4K,http://www.erbao1981.top:8188/udp/239.76.253.130:9000
都市剧场HD,http://www.erbao1981.top:8188/udp/239.76.253.215:9000
极速汽车HD,http://www.erbao1981.top:8188/udp/239.76.253.133:9000
动漫秀场HD,http://www.erbao1981.top:8188/udp/239.76.253.131:9000
游戏风云HD,http://www.erbao1981.top:8188/udp/239.76.253.132:9000
全纪实HD,http://www.erbao1981.top:8188/udp/239.76.253.137:9000
法治天地HD,http://www.erbao1981.top:8188/udp/239.76.253.138:9000
生活时尚HD,http://www.erbao1981.top:8188/udp/239.76.253.223:9000
浏阳HD,http://www.erbao1981.top:8188/udp/239.76.248.6:1234
常德综合HD,http://www.erbao1981.top:8188/udp/239.76.248.10:1234
常德公共HD,http://www.erbao1981.top:8188/udp/239.76.248.11:1234
衡阳综合HD,http://www.erbao1981.top:8188/udp/239.76.248.13:1234
衡阳公共HD,http://www.erbao1981.top:8188/udp/239.76.248.14:1234
娄底综合HD,http://www.erbao1981.top:8188/udp/239.76.248.18:1234
娄底公共HD,http://www.erbao1981.top:8188/udp/239.76.248.19:1234
LDETV,http://www.erbao1981.top:8188/udp/239.76.248.20:1234
XNXTV,http://www.erbao1981.top:8188/udp/239.76.248.21:1234
邵阳新闻HD,http://www.erbao1981.top:8188/udp/239.76.248.23:1234
永州新闻HD,http://www.erbao1981.top:8188/udp/239.76.248.57:1234
怀化综合HD,http://www.erbao1981.top:8188/udp/239.76.255.12:9000
IPTV综艺纪实HD,http://www.erbao1981.top:8188/udp/239.76.254.111:9000
IPTV精选热播HD,http://www.erbao1981.top:8188/udp/239.76.254.110:9000
IPTV搞笑动画HD,http://www.erbao1981.top:8188/udp/239.76.254.207:9000
IPTV甜宠剧场HD,http://www.erbao1981.top:8188/udp/239.76.254.109:9000
IPTV5hd,http://www.erbao1981.top:8188/udp/239.76.252.222:9000
金色夕阳HD,http://www.erbao1981.top:8188/udp/239.76.254.43:9000
第一剧场HD,http://www.erbao1981.top:8188/udp/239.76.254.49:9000
风云足球HD,http://www.erbao1981.top:8188/udp/239.76.254.52:9000
风云音乐HD,http://www.erbao1981.top:8188/udp/239.76.254.51:9000
风云剧场HD,http://www.erbao1981.top:8188/udp/239.76.254.50:9000
女姓时尚HD,http://www.erbao1981.top:8188/udp/239.76.254.55:9000
央视文化精品HD,http://www.erbao1981.top:8188/udp/239.76.254.56:9000
世界地理HD,http://www.erbao1981.top:8188/udp/239.76.254.57:9000
兵器科技HD,http://www.erbao1981.top:8188/udp/239.76.254.59:9000
央视台球HD,http://www.erbao1981.top:8188/udp/239.76.254.58:9000
怀旧剧场HD,http://www.erbao1981.top:8188/udp/239.76.254.53:9000
电视指南HD,http://www.erbao1981.top:8188/udp/239.76.254.61:9000
央视高尔夫HD,http://www.erbao1981.top:8188/udp/239.76.254.62:9000
北京少儿HD,http://www.erbao1981.top:8188/udp/239.76.254.81:9000
IPTV戏剧HD,http://www.erbao1981.top:8188/udp/239.76.253.40:9000
IPTV故事HD,http://www.erbao1981.top:8188/udp/239.76.253.41:9000
IPTV健康之路HD,http://www.erbao1981.top:8188/udp/239.76.253.42:9000
CGTN俄语HD,http://www.erbao1981.top:8188/udp/239.76.253.86:9000
CGTN法语HD,http://www.erbao1981.top:8188/udp/239.76.253.87:9000
CGTN阿拉伯语HD,http://www.erbao1981.top:8188/udp/239.76.253.97:9000
CGTN西班牙语HD,http://www.erbao1981.top:8188/udp/239.76.253.88:9000
芒果汽车HD,http://www.erbao1981.top:8188/udp/239.76.253.123:9000
IPTV芒果互娱HD,http://www.erbao1981.top:8188/udp/239.76.253.126:9000
体育HD,http://www.erbao1981.top:8188/udp/239.76.253.136:9000
金色学堂HD,http://www.erbao1981.top:8188/udp/239.76.253.139:9000
CCTV16-4K,http://www.erbao1981.top:8188/udp/239.76.253.230:9000
广西卫视HD,http://www.erbao1981.top:8188/udp/239.76.254.54:9000
陕西卫视HD,http://www.erbao1981.top:8188/udp/239.76.254.76:9000
云南卫视HD,http://www.erbao1981.top:8188/udp/239.76.254.60:9000
青海卫视HD,http://www.erbao1981.top:8188/udp/239.76.254.132:9000
IPTV 4k电影,http://www.erbao1981.top:8188/udp/239.76.252.35:9000
CGTN英语高清,http://www.erbao1981.top:8188/udp/239.76.252.66:9000
CGTN纪录高清,http://www.erbao1981.top:8188/udp/239.76.252.67:9000
IPTV广场舞HD,http://www.erbao1981.top:8188/udp/239.76.252.134:9000
IPTV电竞HD,http://www.erbao1981.top:8188/udp/239.76.252.214:9000
中国教育1hd,http://www.erbao1981.top:8188/udp/239.76.252.192:9000
芒果乐搜HD,http://www.erbao1981.top:8188/udp/239.76.252.200:9000
湘西综合HD,http://www.erbao1981.top:8188/udp/239.76.252.208:9000
湘西公共HD,http://www.erbao1981.top:8188/udp/239.76.252.210:9000
芒果乐淘HD,http://www.erbao1981.top:8188/udp/239.76.252.215:9000
IPTV5HD,http://www.erbao1981.top:8188/udp/239.76.252.222:9000
