中国联通-黑龙江-组播,#genre#
直播室7,http://1.58.246.240:4001/udp/229.58.190.77:5000
直播室6,http://1.58.246.240:4001/udp/229.58.190.72:5000
直播室5,http://1.58.246.240:4001/udp/229.58.190.64:5000
直播室4,http://1.58.246.240:4001/udp/229.58.190.75:5000
直播室3,http://1.58.246.240:4001/udp/229.58.190.31:5000
直播室2,http://1.58.246.240:4001/udp/229.58.190.1:5000
直播室1,http://1.58.246.240:4001/udp/229.58.190.83:5000
浙江卫视,http://1.58.246.240:4001/udp/229.58.190.28:5000
云南卫视,http://1.58.246.240:4001/udp/229.58.190.176:5000
游戏竞技,http://1.58.246.240:4001/udp/229.58.190.197:5000
游戏风云,http://1.58.246.240:4001/udp/229.58.190.114:5000
优漫卡通,http://1.58.246.240:4001/udp/229.58.190.165:5000
优购物,http://1.58.246.240:4001/udp/229.58.190.22:5000
CCTV央视文化精品,http://1.58.246.240:4001/udp/229.58.190.57:5000
CCTV央视台球,http://1.58.246.240:4001/udp/229.58.190.193:5000
延边卫视,http://1.58.246.240:4001/udp/229.58.190.108:5000
新疆卫视,http://1.58.246.240:4001/udp/229.58.190.179:5000
西藏卫视,http://1.58.246.240:4001/udp/229.58.190.177:5000
武术世界,http://1.58.246.240:4001/udp/229.58.190.198:5000
文物宝库,http://1.58.246.240:4001/udp/229.58.190.167:5000
天津卫视高清,http://1.58.246.240:4001/udp/229.58.190.161:5000
天津卫视,http://1.58.246.240:4001/udp/229.58.190.68:5000
四川卫视高清,http://1.58.246.240:4001/udp/229.58.190.38:5000
四川卫视,http://1.58.246.240:4001/udp/229.58.190.73:5000
CCTV世界地理,http://1.58.246.240:4001/udp/229.58.190.175:5000
生活时尚,http://1.58.246.240:4001/udp/229.58.190.93:5000
深圳卫视高清,http://1.58.246.240:4001/udp/229.58.190.52:5000
深圳卫视,http://1.58.246.240:4001/udp/229.58.190.104:5000
炫动卡通,http://1.58.246.240:4001/udp/229.58.190.182:5000
东方卫视,http://1.58.246.240:4001/udp/229.58.190.144:5000
陕西卫视,http://1.58.246.240:4001/udp/229.58.190.80:5000
山西卫视,http://1.58.246.240:4001/udp/229.58.190.84:5000
山东卫视高清,http://1.58.246.240:4001/udp/229.58.190.160:5000
山东卫视,http://1.58.246.240:4001/udp/229.58.190.33:5000
全纪实,http://1.58.246.240:4001/udp/229.58.190.86:5000
青海卫视,http://1.58.246.240:4001/udp/229.58.190.149:5000
汽摩,http://1.58.246.240:4001/udp/229.58.190.85:5000
齐齐哈尔新闻,http://1.58.246.240:4001/udp/229.58.190.164:5000
齐齐哈尔经济,http://1.58.246.240:4001/udp/229.58.190.192:5000
齐齐哈尔公共,http://1.58.246.240:4001/udp/229.58.190.4:5000
七彩戏剧,http://1.58.246.240:4001/udp/229.58.190.99:5000
女性时尚,http://1.58.246.240:4001/udp/229.58.190.195:5000
宁夏卫视,http://1.58.246.240:4001/udp/229.58.190.184:5000
内蒙古卫视,http://1.58.246.240:4001/udp/229.58.190.183:5000
南方卫视,http://1.58.246.240:4001/udp/229.58.190.115:5000
魅力足球,http://1.58.246.240:4001/udp/229.58.190.112:5000
辽宁卫视,http://1.58.246.240:4001/udp/229.58.190.146:5000
梨园,http://1.58.246.240:4001/udp/229.58.190.152:5000
CCTV老故事,http://1.58.246.240:4001/udp/229.58.190.194:5000
快乐垂钓,http://1.58.246.240:4001/udp/229.58.190.113:5000
卡酷动画,http://1.58.246.240:4001/udp/229.58.190.186:5000
金鹰卡通,http://1.58.246.240:4001/udp/229.58.190.98:5000
金色频道,http://1.58.246.240:4001/udp/229.58.190.88:5000
江西卫视高清,http://1.58.246.240:4001/udp/229.58.190.208:5000
江西卫视,http://1.58.246.240:4001/udp/229.58.190.74:5000
江苏卫视高清,http://1.58.246.240:4001/udp/229.58.190.37:5000
江苏卫视,http://1.58.246.240:4001/udp/229.58.190.147:5000
嘉佳卡通,http://1.58.246.240:4001/udp/229.58.190.107:5000
家有购物,http://1.58.246.240:4001/udp/229.58.190.29:5000
家庭理财,http://1.58.246.240:4001/udp/229.58.190.106:5000
佳木斯新闻,http://1.58.246.240:4001/udp/229.58.190.163:5000
纪实人文HD,http://1.58.246.240:4001/udp/229.58.190.102:5000
纪实人文,http://1.58.246.240:4001/udp/229.58.190.94:5000
极速汽车,http://1.58.246.240:4001/udp/229.58.190.76:5000
吉林卫视高清,http://1.58.246.240:4001/udp/229.58.190.214:5000
吉林卫视,http://1.58.246.240:4001/udp/229.58.190.140:5000
环球奇观,http://1.58.246.240:4001/udp/229.58.190.13:5000
环球购物,http://1.58.246.240:4001/udp/229.58.190.5:5000
CCTV怀旧剧场,http://1.58.246.240:4001/udp/229.58.190.78:5000
湖南卫视高清,http://1.58.246.240:4001/udp/229.58.190.128:5000
湖南卫视,http://1.58.246.240:4001/udp/229.58.190.142:5000
湖南金鹰卡通卫视,http://1.58.246.240:4001/udp/229.58.190.181:5000
湖北卫视高清,http://1.58.246.240:4001/udp/229.58.190.101:5000
湖北卫视,http://1.58.246.240:4001/udp/229.58.190.148:5000
河南卫视高清,http://1.58.246.240:4001/udp/229.58.190.103:5000
河南卫视,http://1.58.246.240:4001/udp/229.58.190.62:5000
河北卫视高清,http://1.58.246.240:4001/udp/229.58.190.209:5000
河北卫视,http://1.58.246.240:4001/udp/229.58.190.55:5000
海南卫视高清,http://1.58.246.240:4001/udp/229.58.190.213:5000
海南卫视,http://1.58.246.240:4001/udp/229.58.190.141:5000
哈哈炫动,http://1.58.246.240:4001/udp/229.58.190.96:5000
国学频道,http://1.58.246.240:4001/udp/229.58.190.119:5000
贵州卫视高清,http://1.58.246.240:4001/udp/229.58.190.100:5000
贵州卫视,http://1.58.246.240:4001/udp/229.58.190.143:5000
广西卫视,http://1.58.246.240:4001/udp/229.58.190.145:5000
广东卫视高清,http://1.58.246.240:4001/udp/229.58.190.53:5000
广东卫视,http://1.58.246.240:4001/udp/229.58.190.139:5000
甘肃卫视,http://1.58.246.240:4001/udp/229.58.190.185:5000
东南卫视,http://1.58.246.240:4001/udp/229.58.190.180:5000
CCTV风云足球,http://1.58.246.240:4001/udp/229.58.190.190:5000
CCTV风云音乐,http://1.58.246.240:4001/udp/229.58.190.188:5000
CCTV风云剧场,http://1.58.246.240:4001/udp/229.58.190.170:5000
风尚购物,http://1.58.246.240:4001/udp/229.58.190.45:5000
法治天地,http://1.58.246.240:4001/udp/229.58.190.110:5000
都市剧场,http://1.58.246.240:4001/udp/229.58.190.70:5000
动漫秀场,http://1.58.246.240:4001/udp/229.58.190.97:5000
东南卫视高清,http://1.58.246.240:4001/udp/229.58.190.168:5000
东方卫视高清,http://1.58.246.240:4001/udp/229.58.190.54:5000
东方财经,http://1.58.246.240:4001/udp/229.58.190.105:5000
CCTV第一剧场,http://1.58.246.240:4001/udp/229.58.190.171:5000
导视,http://1.58.246.240:4001/udp/229.58.190.6:5000
茶频道,http://1.58.246.240:4001/udp/229.58.190.111:5000
财富天下,http://1.58.246.240:4001/udp/229.58.190.109:5000
兵团卫视,http://1.58.246.240:4001/udp/229.58.190.178:5000
CCTV兵器科技,http://1.58.246.240:4001/udp/229.58.190.189:5000
北京卫视高清,http://1.58.246.240:4001/udp/229.58.190.172:5000
北京卫视,http://1.58.246.240:4001/udp/229.58.190.65:5000
北京纪实科教,http://1.58.246.240:4001/udp/229.58.190.21:5000
百变课堂,http://1.58.246.240:4001/udp/229.58.190.89:5000
安徽卫视高清,http://1.58.246.240:4001/udp/229.58.190.162:5000
安徽卫视,http://1.58.246.240:4001/udp/229.58.190.71:5000
CGTN,http://1.58.246.240:4001/udp/229.58.190.23:5000
CETV早期教育,http://1.58.246.240:4001/udp/229.58.190.174:5000
CETV4,http://1.58.246.240:4001/udp/229.58.190.66:5000
CETV2,http://1.58.246.240:4001/udp/229.58.190.59:5000
CETV1,http://1.58.246.240:4001/udp/229.58.190.26:5000
CCTV女性时尚,http://1.58.246.240:4001/udp/229.58.190.187:5000
CCTV高尔夫网球,http://1.58.246.240:4001/udp/229.58.190.11:5000
CCTV法语,http://1.58.246.240:4001/udp/229.58.190.8:5000
CCTV俄语,http://1.58.246.240:4001/udp/229.58.190.20:5000
CCTV电视指南,http://1.58.246.240:4001/udp/229.58.190.191:5000
CCTV英语新闻,http://1.58.246.240:4001/udp/229.58.190.138:5000
